readId	equalMatches
133:347|ef15eba7-400d-49c1-9fc6-60bd9dc9ba72	43
128:362|a65fe0ae-9756-4af4-9967-4ff0bb939bf7	43
126:356|39dc9c9f-d4df-4bc6-bf32-d7289b7a11ca	43
139:357|e8de2f33-91e8-49e2-a187-b4f0d1763b15	43
133:320|35ac484f-1fd5-4450-be72-0ed47e67231b	43
128:397|cfb2c37e-22ed-4144-9795-8652c16992e1	43
133:307|ed0f8788-9740-4af0-83bf-cc29dea5d8e9	43
138:359|0214411a-1970-4785-81a3-af3f2bd61da7	43
116:312|945b9b12-39c1-442c-a79c-5bd373966a9b	43
129:307|d81f0ee5-e3a5-4517-adc1-bbbbc7e4ad8f	43
123:321|af857947-eed5-4d95-b92e-6530069537fa	43
338:525|60ec6559-9f17-4e7e-bf3a-3694dff1d86b	43
137:368|cc588bdb-934b-4597-8401-c0c95b706264	43
139:329|534935fa-156a-412a-8736-73f93aa52eb3	43
144:342|a6a6f813-c38b-412d-acdc-3d1fdcde21e2	43
131:323|439a109b-2532-4e3e-8c3b-951ada22e8b8	43
127:323|f1712d5b-d4b5-4c0a-8ba1-ac087ef36519	43
124:293|ee8fde69-7a4c-4d1b-ab14-33eb7a254616	43
137:303|a861aa54-4d7b-4a98-98d2-07db5c685dcd	43
138:390|45cc56a6-0772-47db-833f-c495cf503e79	43
136:318|d09d791a-1e30-4270-88fd-a6ebbf8a5995	43
124:337|5ea97d88-11ba-4f58-9942-4b4b5afd69f7	43
111:363|54621bcd-c3b1-4eee-93a5-bf3ab2930f6d	43
138:349|ba4f3a22-a5be-4efc-a29b-2987963c673d	43
139:327|423cd074-9387-4812-908b-580be818012e	43
138:356|758938e0-f353-4bf7-abff-9fee3c7c3317	43
139:376|68f025b7-e4da-4a93-8e18-9c82dc820d63	43
132:319|aa322824-efd6-49e3-8c6f-a9f3a015af77	43
144:402|8e74f37f-bae3-4ecc-9da9-1f3c209fd015	43
131:333|57a90a37-3718-48dc-b3fd-68e57d9f30e4	43
131:387|e3b21619-3c7d-4a18-a901-b5005b3336a1	43
131:372|87fe46fa-4919-4bec-880b-8abb5677eadd	43
135:360|38cab2be-c2ea-49aa-807d-c058e0574eea	43
136:346|a182c0b6-ae21-435d-918b-a792c67267ca	43
129:318|2a29a54a-1a41-4724-97a5-4b30550df458	43
134:314|08881237-46b7-4965-a988-8a5b78ee0d34	43
127:315|33e860d7-bc67-4d87-935d-e97b6971d4c2	43
152:315|805f21f6-bb0a-4381-8f50-21fba51e67e2	43
133:317|960fa2f5-659f-4ee9-bfbd-29f235ef214a	43
143:314|0491fd33-f126-4013-8301-5fe74dc41e8a	43
140:335|25141aa6-1c00-46d6-9084-ca4077c573bf	43
129:325|fd47b390-c5c5-43eb-b0a0-0b8f2b6c251b	43
131:319|ff1443ec-5653-46eb-b89b-fb6f3fc118d2	43
128:312|8a660406-c172-4441-a39d-5c3df2b2d32b	43
134:341|22c94b68-026c-4732-bcdc-8c47b64e19e9	43
128:319|2bec45fd-044d-41f0-b15b-d9f6f99210e9	43
