readId	equalMatches
131:613|17f8d41b-6f53-44b9-8dfe-5b606253ddc9	18
127:1301|16034486-e842-4e5e-9709-c62a6009b1db	1948
128:1281|779d38b9-f406-4002-a63e-8096abaa888a	1948
130:713|9471a829-8e27-4471-bbf4-aef9b318e48c	1948
128:548|e5f0baa8-8ac8-4f0f-904e-1150affd3978	1948
136:515|6d779348-d9e8-4d1b-84ab-9df07bc3e86b	1948
136:488|79a174e0-6fd9-43fc-b753-063594beac1e	1948
140:406|881dd942-0d26-49c8-be94-90b9f368d123	1948
138:380|02879644-5d62-49dd-9c46-1131eb903986	1948
135:338|1474a912-ac50-4cfe-a37f-b95e89678dd0	1948
129:339|a3f1e682-f654-482d-b465-5366a02955ff	1948
218:380|fcef5335-db74-4c50-8ce6-5139d273e2da	1948
141:1783|2c53d4db-fbc5-4a56-948e-1527c297903c	1952
129:1759|e1b28415-acb6-4152-b3e8-3148c7d8f9ea	1952
133:759|d6128f5e-663a-4c95-80cf-9aeeabbd9f7b	20
108:783|80d9fc88-3173-46a7-9875-5b38accbd2fb	20
142:784|0d1d58c6-932e-4711-b7a8-794c09ee3c81	20
132:733|7e6cca0d-ed52-4c34-bc8a-c01cea6f2557	20
130:746|bb7db5f7-330c-4425-aa4c-b991e4f65590	20
128:784|0cb7fcc0-318a-4945-9372-e4dff63a9b6e	20
126:788|00c6fd24-e073-43f8-90c7-907265c931a3	20
105:802|f4121a18-cd94-44db-8826-5d3c855c46d3	20
153:832|29e515eb-2137-4d96-9f7b-960563dc895e	20
136:833|2178aefa-a226-4e99-acfc-060559ea7f17	20
159:2098|86a91403-8f8b-4903-a360-5d8466042701	1953
112:1355|b4fc5486-26f7-4a12-8d9c-986268e4158c	1953
134:1389|833fbb8f-11b5-4704-9d38-2c43231dd680	21
138:1056|d0a723dd-8d7c-4d16-b7a9-72bd38020657	21
106:1027|50707fcd-ecc0-4df7-8021-4a4975d6bf36	21
115:1037|e052f360-c123-44a9-91ff-1af2ca07cb89	21
126:1089|1ce92961-ce2a-4beb-af98-62fcc9d9815c	21
110:1031|cda53c4e-d5a2-462d-afa5-ded9be6328ab	21
134:1070|4828def3-8d9d-4c7e-8b82-564bf918a391	21
114:1039|2ed5ab49-dcc0-4a14-86e4-f4e1ced382e3	21
132:1081|9f06aef3-5f3c-44cd-9245-7da2b2e3fcd7	21
112:1039|25b8feb5-b89f-470a-b38c-273845588eb4	21
110:1077|ad5cbcef-e1fa-4f05-87c3-f12d4d85909b	21
136:1088|a8235072-10c0-4ee7-82d0-21771da11fa2	21
103:1066|eb3cf779-00cb-4287-9374-137fa23ec66f	21
110:994|c418aeb6-2b9a-4f89-9a69-44395f2137ce	21
131:1006|0fd6fb0b-5b46-43d6-92bf-9d71bdd7e22d	21
106:976|c1771770-3c20-4e2d-b81b-6ff1d5b3c63a	21
108:995|cd590e89-8773-4c27-a155-e257f674a975	21
109:997|91ded043-61af-4dca-8aa0-fa954c72921f	21
104:984|a2014fa2-e572-4432-899c-19d1cfa48679	21
99:993|6ad2be9b-51c3-446f-882c-724319df9d8f	21
110:1000|f678ce6c-c9c7-47df-9848-06c1e81791f2	21
137:1020|2b6b7a42-16ab-48d1-92be-7dcc1cd9ebc4	21
155:1040|eb3e9da0-70e5-40fb-a080-e913ecaaa787	21
122:995|e717ab78-92b2-4254-9e0e-b2854b8ed847	21
131:1006|9b93f37b-dce2-4817-87a1-9eb8c55051aa	21
114:994|070cddbb-4b44-4a91-af34-db11e3a94a70	21
110:1002|8fc1bbcb-ecdc-4808-b4e5-f8b83bcdd709	21
126:1013|1c8e7370-114b-41ba-abe7-80b200688a22	21
104:985|50dd5b4e-3351-4519-a696-f04b5dd39a7c	21
83:970|fea6b7d6-899d-44e0-81ef-0fbbd76affd4	21
92:980|104aa1f3-674a-45ac-b809-f204830643e6	21
111:1021|65877aa8-0e70-4581-8dec-ce61c8711dc1	21
